,acesBefore15Minutes,assists,baronTakedowns,bountyGold,champExperience,championId,damagePerMinute,deaths,doubleAces,earlyLaningPhaseGoldExpAdvantage ,firstTowerKill,firstTurretKilled,gameLength,inhibitorKills,kda,killParticipation,kills,landSkillShotsEarlyGame ,lane,longestTimeSpentLiving,maxCsAdvantageOnLaneOpponent,maxKillDeficit,maxLevelLeadLaneOpponent,multikills,score,score_diff,soloKills,takedowns,teamBaronKills,turretKills,turretPlatesTaken,turretTakedowns,turretsLost,win
0,0,9,0,300,16124,236,433.96132957732726,7,0,,False,0,2195.5522317,1,2.4285714285714284,0.5483870967741935,8,,BOTTOM,691,32.19999998807907,4,2,0,8.553928980072618,-0.9829970467702864,2,17,1,1,2,5,8,True
1,0,8,0,150,14272,236,540.7520487384957,12,0,,False,0,1915.7217641,0,0.9166666666666666,0.3142857142857143,3,,BOTTOM,231,36.19999998807907,0,2,0,6.449257300752111,-4.9420396138837575,1,11,1,1,0,1,10,False
2,0,4,1,675,17152,51,681.1842282229602,8,0,,False,0,2291.0944752,0,1.875,0.42857142857142855,11,,BOTTOM,450,2.0,0,1,1,8.073556371161123,-2.3859768294461645,0,15,1,3,0,3,9,False
3,0,2,0,500,10395,45,507.20606385765376,5,0,,False,0,1393.0862567,0,0.8,0.4,2,,MIDDLE,460,1.0,0,1,0,7.095536585729574,-15.508072256289555,1,4,0,0,0,0,10,False
4,0,7,1,300,12794,236,465.6506656405406,6,0,,False,1,1927.4880085999998,1,1.8333333333333333,0.3548387096774194,4,,BOTTOM,594,24.0,1,1,0,7.793483714890328,7.023685567948284,0,11,1,1,1,6,6,True
5,0,4,0,0,11339,236,615.0826989372446,4,0,,True,1,1499.3043911,1,3.5,0.2857142857142857,10,,BOTTOM,1075,35.60000002384186,1,3,3,9.001391461492538,10.446630836923568,3,14,0,3,4,4,1,True
6,0,12,1,900,17834,236,989.9288590774867,5,0,,False,1,1977.9824540999998,0,5.0,0.5319148936170213,13,,BOTTOM,608,20.000000029802322,0,1,1,9.887713816319023,4.029113248054109,0,25,1,1,0,1,5,True
7,0,5,1,0,12072,236,416.4145328074347,0,0,,True,1,1470.9184434,0,9.0,0.4090909090909091,4,,BOTTOM,0,76.0,0,4,2,9.69467861475419,18.055405140336823,1,9,1,4,4,6,0,True
8,0,6,0,825,12091,202,1024.3775164641381,7,0,,True,1,1674.1857896,0,2.7142857142857144,0.7037037037037037,13,,BOTTOM,683,56.0,0,2,1,9.798698253236607,-8.128241519123911,2,19,0,2,2,2,9,False
9,0,10,0,0,9925,222,916.1667168635282,0,0,,True,1,1417.4551536,0,19.0,0.7037037037037037,9,,BOTTOM,0,40.0,1,2,2,10.0,11.842680052450937,1,19,0,2,5,4,3,True
10,0,8,0,600,15283,202,484.6211337362222,6,0,,False,1,2045.3610589999998,1,2.5,0.45454545454545453,7,,MIDDLE,714,0.0,11,1,0,9.069821776271985,-8.374466661864176,1,15,1,0,0,1,3,True
11,0,10,0,750,14836,236,530.1240825004338,4,0,,True,1,1993.6713648999998,0,4.5,0.5294117647058824,8,,BOTTOM,690,68.0,4,2,2,9.829786430893684,4.125874852742854,2,18,0,4,3,6,4,True
12,0,12,1,0,19678,202,669.5064240768436,5,0,,False,1,2424.7702478,0,3.6,0.3673469387755102,6,,BOTTOM,613,22.699999898672104,2,1,0,9.412876827371496,5.488275105943046,0,18,1,4,2,7,7,True
13,0,9,1,1050,15741,360,1024.2388040251533,11,0,,False,1,2191.0829571,0,2.727272727272727,0.5660377358490566,21,,BOTTOM,322,32.0,1,1,6,9.388486985540048,-0.8969744588133821,3,30,2,0,1,3,1,True
