,Unnamed: 0,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
68,68,11,4,3,0,2,0,3,2,0,1,40,29,5.035486845333672,True,grandmaster
69,69,11,2,2,0,1,1,4,0,2,0,36,33,-1.9918223433358195,True,grandmaster
70,70,3,11,0,3,0,2,0,4,1,1,18,41,-11.323480242351955,False,grandmaster
71,71,8,2,1,0,1,0,4,0,0,2,46,27,4.9896727091378,True,grandmaster
72,72,11,0,4,0,2,0,3,1,2,0,49,29,7.581407712798686,True,grandmaster
73,73,3,7,0,1,0,1,1,2,1,1,28,39,-5.504094159670423,False,grandmaster
74,74,4,8,0,1,0,1,2,2,1,0,15,28,-8.692979830559636,False,grandmaster
75,75,7,8,1,2,3,0,1,4,0,2,42,41,0.9788336305347728,True,grandmaster
76,76,9,2,1,0,1,0,4,0,0,1,40,25,5.899963282010951,True,grandmaster
77,77,3,9,0,1,0,2,0,4,0,2,21,28,-1.7200303895426217,False,grandmaster
78,78,10,1,1,0,1,0,3,0,1,1,21,10,6.769302051665186,True,grandmaster
79,79,10,1,2,0,1,0,3,0,2,0,30,14,11.367922916508036,True,grandmaster
80,80,7,5,1,0,0,1,2,2,1,1,25,22,-0.5003977707646428,True,grandmaster
81,81,4,8,0,1,1,1,1,4,0,2,27,29,-0.87858169465418,False,grandmaster
82,82,4,2,0,0,1,0,3,1,1,1,29,14,8.436171316869697,True,grandmaster
83,83,10,5,2,0,0,1,2,2,2,0,36,30,2.7217649558515404,True,grandmaster
84,84,10,0,2,0,1,0,2,1,1,1,33,18,9.556828119662775,True,grandmaster
85,85,9,2,2,0,1,0,1,2,1,1,34,23,7.940910662892314,True,grandmaster
86,86,4,11,0,2,0,1,0,4,0,2,24,39,-8.985941586547689,False,grandmaster
87,87,6,2,1,0,1,0,3,0,2,0,41,18,10.25531782908267,True,grandmaster
88,88,10,2,2,0,1,0,3,1,1,0,29,24,2.867667367697763,True,grandmaster
89,89,10,2,2,0,1,0,2,1,2,0,40,31,5.935832815765224,True,grandmaster
90,90,10,1,2,0,1,0,3,1,2,0,28,25,2.1889724457310398,True,grandmaster
91,91,3,5,0,0,0,1,0,3,0,1,15,30,-6.708394992658086,False,grandmaster
92,92,10,3,1,0,1,0,2,1,0,1,29,31,-1.6286649167211138,True,grandmaster
93,93,7,3,1,0,1,0,3,0,1,1,34,16,10.264696312889775,True,grandmaster
94,94,9,1,2,0,2,0,4,0,2,0,35,19,7.4112045415271695,True,grandmaster
95,95,2,10,0,2,0,1,0,4,0,2,20,33,-4.354247342238757,False,grandmaster
96,96,11,2,4,0,2,0,3,1,2,0,51,28,6.820370755000219,True,grandmaster
97,97,8,6,2,0,2,0,3,1,1,1,51,26,8.025732403971837,True,grandmaster
98,98,3,8,0,1,0,2,1,3,1,1,32,36,-5.570960853872066,False,grandmaster
99,99,8,0,1,0,1,0,3,1,1,1,38,31,2.194280814368831,True,grandmaster
100,100,2,10,0,2,0,1,2,2,0,2,20,36,-8.295726181438326,False,grandmaster
101,101,11,3,4,0,1,0,3,1,1,1,33,19,6.033946467905771,True,grandmaster
102,102,11,4,3,0,1,0,4,0,2,0,44,34,4.902173106496782,True,grandmaster
103,103,2,11,0,3,0,1,1,3,1,1,12,30,-10.297155872037209,False,grandmaster
104,104,5,8,0,1,1,1,2,2,1,1,22,33,-3.5613448486152848,False,grandmaster
105,105,2,7,0,1,0,1,2,1,0,2,16,25,-5.714265677749637,False,grandmaster
106,106,3,11,0,2,0,1,2,1,1,0,40,42,2.294293009310508,False,grandmaster
107,107,9,2,2,0,1,0,2,1,2,0,28,9,15.199838654746015,True,grandmaster
108,108,2,9,0,1,0,1,0,4,0,2,20,29,-6.322816833134993,False,grandmaster
109,109,0,9,0,2,1,0,1,3,0,2,23,37,-6.467279489127598,False,grandmaster
110,110,1,10,0,3,0,2,0,4,0,2,18,37,-9.273743811110585,False,grandmaster
111,111,7,3,1,0,2,0,4,0,1,1,34,15,9.19853854222859,True,grandmaster
112,112,10,2,2,0,0,1,3,0,1,1,38,11,10.52477991726724,True,grandmaster
113,113,9,0,2,0,1,0,3,0,2,0,38,21,7.280142695456846,True,grandmaster
114,114,1,8,0,2,0,1,0,4,1,1,26,32,-3.4318345556790817,False,grandmaster
115,115,10,1,2,0,1,0,3,0,1,1,45,17,11.840580097951438,True,grandmaster
116,116,3,9,0,1,0,1,0,4,0,2,14,36,-6.343345211595498,False,grandmaster
117,117,10,2,1,0,1,0,3,0,2,0,40,24,8.377936508557397,True,grandmaster
118,118,4,10,0,4,0,2,0,5,1,1,25,33,-2.6904194026122,False,grandmaster
119,119,6,10,1,1,0,2,1,3,0,2,22,40,-9.064379014696408,False,grandmaster
120,120,6,8,0,1,0,1,0,3,2,0,22,31,-5.108720397890124,False,grandmaster
121,121,4,9,0,1,0,1,2,2,1,1,17,26,-6.8569072930366985,False,grandmaster
122,122,9,7,3,1,0,2,2,2,0,2,40,56,-5.527312513717995,False,grandmaster
123,123,10,2,1,0,1,1,4,0,2,0,45,33,3.050936270483504,True,grandmaster
124,124,8,9,1,2,2,1,3,3,2,0,45,45,1.2731440489465342,False,grandmaster
125,125,7,10,2,3,2,2,3,4,0,2,37,54,-4.97335789679007,False,grandmaster
126,126,9,3,2,0,1,0,2,1,0,2,26,16,7.093392494203769,True,grandmaster
127,127,7,4,2,0,1,0,4,0,1,1,28,14,9.40080968740424,True,grandmaster
128,128,11,7,5,2,1,2,4,2,2,0,40,33,2.579907941979812,True,grandmaster
129,129,7,6,1,1,0,1,4,0,2,0,30,26,0.5546723579282755,True,grandmaster
130,130,7,7,0,1,1,2,3,3,1,1,29,42,-7.078573852344135,False,grandmaster
131,131,7,4,1,0,1,0,1,2,0,2,35,28,6.701381356948062,True,grandmaster
132,132,1,8,0,1,0,0,0,3,1,1,22,41,-5.725417383394657,False,grandmaster
133,133,3,8,0,1,0,1,1,2,0,2,25,36,-7.458742268343457,False,grandmaster
134,134,11,3,3,0,2,0,2,2,1,0,43,26,7.799944119346797,True,grandmaster
135,135,7,2,1,0,1,0,2,1,1,1,35,25,7.35295960164872,True,grandmaster
136,136,11,4,3,0,2,0,3,2,0,1,40,29,5.035486845333672,True,grandmaster
137,137,11,2,2,0,1,1,4,0,2,0,36,33,-1.9918223433358195,True,grandmaster
138,138,3,11,0,3,0,2,0,4,1,1,18,41,-11.323480242351955,False,grandmaster
139,139,8,2,1,0,1,0,4,0,0,2,46,27,4.9896727091378,True,grandmaster
140,140,11,0,4,0,2,0,3,1,2,0,49,29,7.581407712798686,True,grandmaster
141,141,3,7,0,1,0,1,1,2,1,1,28,39,-5.504094159670423,False,grandmaster
142,142,4,8,0,1,0,1,2,2,1,0,15,28,-8.692979830559636,False,grandmaster
143,143,7,8,1,2,3,0,1,4,0,2,42,41,0.9788336305347728,True,grandmaster
144,144,9,2,1,0,1,0,4,0,0,1,40,25,5.899963282010951,True,grandmaster
145,145,3,9,0,1,0,2,0,4,0,2,21,28,-1.7200303895426217,False,grandmaster
146,146,10,1,1,0,1,0,3,0,1,1,21,10,6.769302051665186,True,grandmaster
147,147,10,1,2,0,1,0,3,0,2,0,30,14,11.367922916508036,True,grandmaster
148,148,7,5,1,0,0,1,2,2,1,1,25,22,-0.5003977707646428,True,grandmaster
149,149,4,8,0,1,1,1,1,4,0,2,27,29,-0.87858169465418,False,grandmaster
150,150,4,2,0,0,1,0,3,1,1,1,29,14,8.436171316869697,True,grandmaster
151,151,10,5,2,0,0,1,2,2,2,0,36,30,2.7217649558515404,True,grandmaster
152,152,10,0,2,0,1,0,2,1,1,1,33,18,9.556828119662775,True,grandmaster
153,153,9,2,2,0,1,0,1,2,1,1,34,23,7.940910662892314,True,grandmaster
154,154,4,11,0,2,0,1,0,4,0,2,24,39,-8.985941586547689,False,grandmaster
155,155,6,2,1,0,1,0,3,0,2,0,41,18,10.25531782908267,True,grandmaster
156,156,10,2,2,0,1,0,3,1,1,0,29,24,2.867667367697763,True,grandmaster
157,157,10,2,2,0,1,0,2,1,2,0,40,31,5.935832815765224,True,grandmaster
158,158,10,1,2,0,1,0,3,1,2,0,28,25,2.1889724457310398,True,grandmaster
159,159,3,5,0,0,0,1,0,3,0,1,15,30,-6.708394992658086,False,grandmaster
160,160,10,3,1,0,1,0,2,1,0,1,29,31,-1.6286649167211138,True,grandmaster
161,161,7,3,1,0,1,0,3,0,1,1,34,16,10.264696312889775,True,grandmaster
162,162,9,1,2,0,2,0,4,0,2,0,35,19,7.4112045415271695,True,grandmaster
163,163,2,10,0,2,0,1,0,4,0,2,20,33,-4.354247342238757,False,grandmaster
164,164,11,2,4,0,2,0,3,1,2,0,51,28,6.820370755000219,True,grandmaster
165,165,8,6,2,0,2,0,3,1,1,1,51,26,8.025732403971837,True,grandmaster
166,166,3,8,0,1,0,2,1,3,1,1,32,36,-5.570960853872066,False,grandmaster
167,167,8,0,1,0,1,0,3,1,1,1,38,31,2.194280814368831,True,grandmaster
168,168,2,10,0,2,0,1,2,2,0,2,20,36,-8.295726181438326,False,grandmaster
169,169,11,3,4,0,1,0,3,1,1,1,33,19,6.033946467905771,True,grandmaster
170,170,11,4,3,0,1,0,4,0,2,0,44,34,4.902173106496782,True,grandmaster
171,171,2,11,0,3,0,1,1,3,1,1,12,30,-10.297155872037209,False,grandmaster
172,172,5,8,0,1,1,1,2,2,1,1,22,33,-3.5613448486152848,False,grandmaster
173,173,2,7,0,1,0,1,2,1,0,2,16,25,-5.714265677749637,False,grandmaster
174,174,3,11,0,2,0,1,2,1,1,0,40,42,2.294293009310508,False,grandmaster
175,175,9,2,2,0,1,0,2,1,2,0,28,9,15.199838654746015,True,grandmaster
176,176,2,9,0,1,0,1,0,4,0,2,20,29,-6.322816833134993,False,grandmaster
177,177,0,9,0,2,1,0,1,3,0,2,23,37,-6.467279489127598,False,grandmaster
178,178,1,10,0,3,0,2,0,4,0,2,18,37,-9.273743811110585,False,grandmaster
179,179,7,3,1,0,2,0,4,0,1,1,34,15,9.19853854222859,True,grandmaster
180,180,10,2,2,0,0,1,3,0,1,1,38,11,10.52477991726724,True,grandmaster
181,181,9,0,2,0,1,0,3,0,2,0,38,21,7.280142695456846,True,grandmaster
182,182,1,8,0,2,0,1,0,4,1,1,26,32,-3.4318345556790817,False,grandmaster
183,183,10,1,2,0,1,0,3,0,1,1,45,17,11.840580097951438,True,grandmaster
184,184,3,9,0,1,0,1,0,4,0,2,14,36,-6.343345211595498,False,grandmaster
185,185,10,2,1,0,1,0,3,0,2,0,40,24,8.377936508557397,True,grandmaster
186,186,4,10,0,4,0,2,0,5,1,1,25,33,-2.6904194026122,False,grandmaster
187,187,6,10,1,1,0,2,1,3,0,2,22,40,-9.064379014696408,False,grandmaster
188,188,6,8,0,1,0,1,0,3,2,0,22,31,-5.108720397890124,False,grandmaster
189,189,4,9,0,1,0,1,2,2,1,1,17,26,-6.8569072930366985,False,grandmaster
190,190,9,7,3,1,0,2,2,2,0,2,40,56,-5.527312513717995,False,grandmaster
191,191,10,2,1,0,1,1,4,0,2,0,45,33,3.050936270483504,True,grandmaster
192,192,8,9,1,2,2,1,3,3,2,0,45,45,1.2731440489465342,False,grandmaster
193,193,7,10,2,3,2,2,3,4,0,2,37,54,-4.97335789679007,False,grandmaster
194,194,9,3,2,0,1,0,2,1,0,2,26,16,7.093392494203769,True,grandmaster
195,195,7,4,2,0,1,0,4,0,1,1,28,14,9.40080968740424,True,grandmaster
196,196,11,7,5,2,1,2,4,2,2,0,40,33,2.579907941979812,True,grandmaster
197,197,7,6,1,1,0,1,4,0,2,0,30,26,0.5546723579282755,True,grandmaster
198,198,7,7,0,1,1,2,3,3,1,1,29,42,-7.078573852344135,False,grandmaster
199,199,7,4,1,0,1,0,1,2,0,2,35,28,6.701381356948062,True,grandmaster
200,200,1,8,0,1,0,0,0,3,1,1,22,41,-5.725417383394657,False,grandmaster
201,201,3,8,0,1,0,1,1,2,0,2,25,36,-7.458742268343457,False,grandmaster
202,202,11,3,3,0,2,0,2,2,1,0,43,26,7.799944119346797,True,grandmaster
203,203,7,2,1,0,1,0,2,1,1,1,35,25,7.35295960164872,True,grandmaster
204,204,11,4,3,0,2,0,3,2,0,1,40,29,5.035486845333672,True,grandmaster
205,205,11,2,2,0,1,1,4,0,2,0,36,33,-1.9918223433358195,True,grandmaster
206,206,3,11,0,3,0,2,0,4,1,1,18,41,-11.323480242351955,False,grandmaster
207,207,8,2,1,0,1,0,4,0,0,2,46,27,4.9896727091378,True,grandmaster
208,208,11,0,4,0,2,0,3,1,2,0,49,29,7.581407712798686,True,grandmaster
209,209,3,7,0,1,0,1,1,2,1,1,28,39,-5.504094159670423,False,grandmaster
210,210,4,8,0,1,0,1,2,2,1,0,15,28,-8.692979830559636,False,grandmaster
211,211,7,8,1,2,3,0,1,4,0,2,42,41,0.9788336305347728,True,grandmaster
212,212,9,2,1,0,1,0,4,0,0,1,40,25,5.899963282010951,True,grandmaster
213,213,3,9,0,1,0,2,0,4,0,2,21,28,-1.7200303895426217,False,grandmaster
214,214,10,1,1,0,1,0,3,0,1,1,21,10,6.769302051665186,True,grandmaster
215,215,10,1,2,0,1,0,3,0,2,0,30,14,11.367922916508036,True,grandmaster
216,216,7,5,1,0,0,1,2,2,1,1,25,22,-0.5003977707646428,True,grandmaster
217,217,4,8,0,1,1,1,1,4,0,2,27,29,-0.87858169465418,False,grandmaster
218,218,4,2,0,0,1,0,3,1,1,1,29,14,8.436171316869697,True,grandmaster
219,219,10,5,2,0,0,1,2,2,2,0,36,30,2.7217649558515404,True,grandmaster
220,220,10,0,2,0,1,0,2,1,1,1,33,18,9.556828119662775,True,grandmaster
221,221,9,2,2,0,1,0,1,2,1,1,34,23,7.940910662892314,True,grandmaster
222,222,4,11,0,2,0,1,0,4,0,2,24,39,-8.985941586547689,False,grandmaster
223,223,6,2,1,0,1,0,3,0,2,0,41,18,10.25531782908267,True,grandmaster
224,224,10,2,2,0,1,0,3,1,1,0,29,24,2.867667367697763,True,grandmaster
225,225,10,2,2,0,1,0,2,1,2,0,40,31,5.935832815765224,True,grandmaster
226,226,10,1,2,0,1,0,3,1,2,0,28,25,2.1889724457310398,True,grandmaster
227,227,3,5,0,0,0,1,0,3,0,1,15,30,-6.708394992658086,False,grandmaster
228,228,10,3,1,0,1,0,2,1,0,1,29,31,-1.6286649167211138,True,grandmaster
229,229,7,3,1,0,1,0,3,0,1,1,34,16,10.264696312889775,True,grandmaster
230,230,9,1,2,0,2,0,4,0,2,0,35,19,7.4112045415271695,True,grandmaster
231,231,2,10,0,2,0,1,0,4,0,2,20,33,-4.354247342238757,False,grandmaster
232,232,11,2,4,0,2,0,3,1,2,0,51,28,6.820370755000219,True,grandmaster
233,233,8,6,2,0,2,0,3,1,1,1,51,26,8.025732403971837,True,grandmaster
234,234,3,8,0,1,0,2,1,3,1,1,32,36,-5.570960853872066,False,grandmaster
235,235,8,0,1,0,1,0,3,1,1,1,38,31,2.194280814368831,True,grandmaster
236,236,2,10,0,2,0,1,2,2,0,2,20,36,-8.295726181438326,False,grandmaster
237,237,11,3,4,0,1,0,3,1,1,1,33,19,6.033946467905771,True,grandmaster
238,238,11,4,3,0,1,0,4,0,2,0,44,34,4.902173106496782,True,grandmaster
239,239,2,11,0,3,0,1,1,3,1,1,12,30,-10.297155872037209,False,grandmaster
240,240,5,8,0,1,1,1,2,2,1,1,22,33,-3.5613448486152848,False,grandmaster
241,241,2,7,0,1,0,1,2,1,0,2,16,25,-5.714265677749637,False,grandmaster
242,242,3,11,0,2,0,1,2,1,1,0,40,42,2.294293009310508,False,grandmaster
243,243,9,2,2,0,1,0,2,1,2,0,28,9,15.199838654746015,True,grandmaster
244,244,2,9,0,1,0,1,0,4,0,2,20,29,-6.322816833134993,False,grandmaster
245,245,0,9,0,2,1,0,1,3,0,2,23,37,-6.467279489127598,False,grandmaster
246,246,1,10,0,3,0,2,0,4,0,2,18,37,-9.273743811110585,False,grandmaster
247,247,7,3,1,0,2,0,4,0,1,1,34,15,9.19853854222859,True,grandmaster
248,248,10,2,2,0,0,1,3,0,1,1,38,11,10.52477991726724,True,grandmaster
249,249,9,0,2,0,1,0,3,0,2,0,38,21,7.280142695456846,True,grandmaster
250,250,1,8,0,2,0,1,0,4,1,1,26,32,-3.4318345556790817,False,grandmaster
251,251,10,1,2,0,1,0,3,0,1,1,45,17,11.840580097951438,True,grandmaster
252,252,3,9,0,1,0,1,0,4,0,2,14,36,-6.343345211595498,False,grandmaster
253,253,10,2,1,0,1,0,3,0,2,0,40,24,8.377936508557397,True,grandmaster
254,254,4,10,0,4,0,2,0,5,1,1,25,33,-2.6904194026122,False,grandmaster
255,255,6,10,1,1,0,2,1,3,0,2,22,40,-9.064379014696408,False,grandmaster
