,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win
376,5,8,0,1,0,1,3,0,0,2,24,26,-2.003345770482312,False
377,5,11,0,2,0,2,2,3,1,1,25,32,-3.3453389459653238,False
378,9,5,4,0,1,1,3,2,0,2,44,31,3.9953137849387446,True
379,2,9,0,1,0,1,0,3,2,0,18,31,-6.250378749359065,False
380,7,1,1,0,1,0,3,0,1,1,32,17,5.456166271888726,True
381,10,0,2,0,1,0,1,1,1,0,29,14,7.236444228828027,True
382,8,2,1,0,0,1,3,1,2,0,38,21,6.63739519445933,True
383,9,2,1,0,1,0,3,0,2,0,23,11,10.805284212582727,True
384,3,10,0,2,0,1,0,3,2,0,21,34,-9.664540166847921,False
385,4,2,0,0,1,0,3,0,1,1,34,13,13.767992825284104,True
386,10,6,3,0,2,0,3,2,0,2,43,29,6.146241243940587,True
387,2,8,0,1,0,1,0,4,0,2,24,37,-6.74483461987802,False
388,8,2,1,0,1,0,3,1,1,1,32,18,7.780608827986207,True
389,10,6,2,0,2,0,1,4,0,2,42,21,7.7630566046465646,True
390,2,10,0,1,0,2,1,3,1,1,20,34,-4.4069750134961865,False
391,3,10,0,1,1,1,2,2,0,2,18,41,-11.525436825356266,False
392,10,1,2,0,0,2,1,4,2,0,42,32,4.3203084033958135,True
393,10,3,2,0,2,0,3,2,1,1,42,34,3.6162247405384633,True
394,1,9,0,2,0,1,1,2,0,2,24,42,-6.627180599474258,False
395,8,5,1,1,1,1,4,1,1,1,42,35,4.010743246824838,True
396,2,9,0,1,0,2,2,3,2,0,20,41,-10.354874854541634,False
397,11,1,1,0,1,0,2,2,1,1,37,24,9.586846691916271,True
398,3,11,0,3,0,2,3,2,1,1,25,30,0.02932001129030226,False
399,1,7,0,1,0,1,1,3,0,2,13,31,-9.771046694688486,False
400,9,2,1,0,1,0,3,1,1,1,42,26,6.147355818553336,True
401,3,10,0,1,1,1,1,3,1,1,26,31,2.0713318107424,False
402,0,6,0,1,0,1,1,2,0,2,21,38,-9.831492931984009,False
