,Unnamed: 0,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
194,194,11,3,3,0,2,0,3,1,1,1,38,17,10.3357228579043,True,grandmaster
195,195,10,3,2,0,1,0,2,0,1,0,37,33,-1.6000228597587025,True,grandmaster
196,196,11,3,3,0,2,0,3,0,0,2,50,24,4.3544254797612325,True,grandmaster
197,197,6,6,1,1,0,1,2,2,2,0,26,19,2.2037540450942004,False,grandmaster
198,198,10,2,2,0,2,0,3,0,2,0,33,21,6.431024812074057,True,grandmaster
199,199,10,2,2,0,1,0,3,0,0,1,49,30,7.419250522450014,True,grandmaster
200,200,10,3,2,0,1,0,3,2,2,0,53,36,5.8635368241317565,True,grandmaster
201,201,7,5,2,0,1,1,4,0,0,2,32,23,3.285375108074227,True,grandmaster
202,202,6,9,0,1,1,1,3,2,0,2,32,40,-3.648329494181425,False,grandmaster
203,203,11,2,1,0,1,0,4,1,2,0,34,21,5.099622868198189,True,grandmaster
204,204,8,1,1,0,1,0,0,2,1,1,37,27,8.909392224280253,True,grandmaster
205,205,2,8,0,1,0,1,1,4,2,0,20,31,-3.687918983787952,False,grandmaster
206,206,6,11,1,3,1,1,4,1,0,2,33,42,-3.036122574282807,False,grandmaster
207,207,3,10,0,2,0,2,0,4,0,2,14,43,-10.611941436566262,False,grandmaster
208,208,9,1,1,0,1,0,3,1,2,0,38,25,4.538415794922749,True,grandmaster
209,209,4,7,0,1,0,1,0,3,1,1,24,17,1.7019905252284315,False,grandmaster
210,210,10,2,2,0,1,0,4,0,1,1,36,23,8.105278175367957,True,grandmaster
211,211,2,9,0,2,0,1,2,2,1,1,14,27,-10.4421339426464,False,grandmaster
212,212,10,7,1,1,1,1,3,3,2,0,34,37,0.5665135046247869,False,grandmaster
213,213,2,9,0,1,0,1,0,3,0,2,31,38,-4.803159551184216,False,grandmaster
214,214,1,9,0,1,0,1,1,2,0,2,32,43,-4.603027715364249,False,grandmaster
215,215,4,11,0,4,0,2,3,2,2,0,32,39,-3.971194557700549,False,grandmaster
216,216,4,9,0,1,0,2,3,1,2,0,28,43,-7.291908575288424,False,grandmaster
217,217,8,8,1,2,2,1,2,3,0,1,55,31,7.394440090242469,True,grandmaster
218,218,1,11,0,3,0,1,0,3,1,1,16,27,-9.834545899762098,False,grandmaster
219,219,2,6,0,1,0,1,0,3,2,0,19,34,-8.850503804483303,False,grandmaster
220,220,5,11,0,2,0,1,1,2,2,0,35,48,-3.055200685338804,False,grandmaster
221,221,5,8,0,1,0,1,2,2,1,1,41,53,-6.2785616050701805,False,grandmaster
222,222,5,7,1,1,0,2,2,3,0,2,29,42,-6.369678160989537,False,grandmaster
223,223,8,9,1,2,2,1,2,3,2,0,28,42,-7.543135729739589,False,grandmaster
224,224,8,2,1,0,1,0,3,0,1,1,40,24,7.421462575187405,True,grandmaster
225,225,4,9,0,1,0,2,1,4,0,1,34,37,-0.4932834672624437,False,grandmaster
226,226,11,1,3,0,1,0,1,2,1,1,51,29,6.704348284218035,True,grandmaster
227,227,5,10,0,1,0,1,0,4,1,1,20,35,-8.910142091535093,False,grandmaster
228,228,4,3,0,0,0,0,3,0,1,1,21,7,10.698431439753442,True,grandmaster
229,229,8,8,1,1,1,1,2,2,0,1,43,40,-0.3216274427252159,True,grandmaster
230,230,10,1,1,0,1,0,2,1,1,1,32,14,9.765636669962532,True,grandmaster
231,231,11,1,3,0,1,0,3,0,2,0,30,13,9.820207203048945,True,grandmaster
232,232,8,2,1,0,1,0,2,2,2,0,29,26,1.3607135110603892,True,grandmaster
233,233,2,6,0,1,0,0,1,2,1,1,25,35,-1.3434991454512186,False,grandmaster
234,234,8,6,1,0,1,0,1,2,0,2,34,21,8.08751832402745,True,grandmaster
235,235,8,2,1,0,2,0,3,1,2,0,35,14,10.474401133033451,True,grandmaster
236,236,4,3,0,0,0,1,0,3,1,1,7,21,-10.973125592029184,False,grandmaster
237,237,0,9,0,2,0,1,0,3,0,2,18,30,-8.400794272273338,False,grandmaster
238,238,11,3,3,0,2,0,3,1,1,1,38,17,10.3357228579043,True,grandmaster
239,239,10,3,2,0,1,0,2,0,1,0,37,33,-1.6000228597587025,True,grandmaster
240,240,11,3,3,0,2,0,3,0,0,2,50,24,4.3544254797612325,True,grandmaster
241,241,6,6,1,1,0,1,2,2,2,0,26,19,2.2037540450942004,False,grandmaster
242,242,10,2,2,0,2,0,3,0,2,0,33,21,6.431024812074057,True,grandmaster
243,243,10,2,2,0,1,0,3,0,0,1,49,30,7.419250522450014,True,grandmaster
244,244,10,3,2,0,1,0,3,2,2,0,53,36,5.8635368241317565,True,grandmaster
245,245,7,5,2,0,1,1,4,0,0,2,32,23,3.285375108074227,True,grandmaster
246,246,6,9,0,1,1,1,3,2,0,2,32,40,-3.648329494181425,False,grandmaster
247,247,11,2,1,0,1,0,4,1,2,0,34,21,5.099622868198189,True,grandmaster
248,248,8,1,1,0,1,0,0,2,1,1,37,27,8.909392224280253,True,grandmaster
249,249,2,8,0,1,0,1,1,4,2,0,20,31,-3.687918983787952,False,grandmaster
250,250,6,11,1,3,1,1,4,1,0,2,33,42,-3.036122574282807,False,grandmaster
251,251,3,10,0,2,0,2,0,4,0,2,14,43,-10.611941436566262,False,grandmaster
252,252,9,1,1,0,1,0,3,1,2,0,38,25,4.538415794922749,True,grandmaster
253,253,4,7,0,1,0,1,0,3,1,1,24,17,1.7019905252284315,False,grandmaster
254,254,10,2,2,0,1,0,4,0,1,1,36,23,8.105278175367957,True,grandmaster
255,255,2,9,0,2,0,1,2,2,1,1,14,27,-10.4421339426464,False,grandmaster
256,256,10,7,1,1,1,1,3,3,2,0,34,37,0.5665135046247869,False,grandmaster
257,257,2,9,0,1,0,1,0,3,0,2,31,38,-4.803159551184216,False,grandmaster
258,258,1,9,0,1,0,1,1,2,0,2,32,43,-4.603027715364249,False,grandmaster
259,259,4,11,0,4,0,2,3,2,2,0,32,39,-3.971194557700549,False,grandmaster
260,260,4,9,0,1,0,2,3,1,2,0,28,43,-7.291908575288424,False,grandmaster
261,261,8,8,1,2,2,1,2,3,0,1,55,31,7.394440090242469,True,grandmaster
262,262,1,11,0,3,0,1,0,3,1,1,16,27,-9.834545899762098,False,grandmaster
263,263,2,6,0,1,0,1,0,3,2,0,19,34,-8.850503804483303,False,grandmaster
264,264,5,11,0,2,0,1,1,2,2,0,35,48,-3.055200685338804,False,grandmaster
265,265,5,8,0,1,0,1,2,2,1,1,41,53,-6.2785616050701805,False,grandmaster
266,266,5,7,1,1,0,2,2,3,0,2,29,42,-6.369678160989537,False,grandmaster
267,267,8,9,1,2,2,1,2,3,2,0,28,42,-7.543135729739589,False,grandmaster
268,268,8,2,1,0,1,0,3,0,1,1,40,24,7.421462575187405,True,grandmaster
269,269,4,9,0,1,0,2,1,4,0,1,34,37,-0.4932834672624437,False,grandmaster
270,270,11,1,3,0,1,0,1,2,1,1,51,29,6.704348284218035,True,grandmaster
271,271,5,10,0,1,0,1,0,4,1,1,20,35,-8.910142091535093,False,grandmaster
272,272,4,3,0,0,0,0,3,0,1,1,21,7,10.698431439753442,True,grandmaster
273,273,8,8,1,1,1,1,2,2,0,1,43,40,-0.3216274427252159,True,grandmaster
