,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win
364,2,10,0,2,0,1,1,3,0,2,19,31,-7.153440409893079,False
365,11,1,3,0,1,0,2,1,2,0,44,20,9.607753385603232,True
366,8,3,1,0,1,0,3,0,1,1,41,24,6.35216086773822,True
367,5,7,0,1,1,0,2,2,1,1,22,25,0.5003977707646428,False
368,2,8,0,1,0,1,3,0,0,2,36,33,-1.4341229910936732,False
369,9,1,2,0,0,1,2,1,2,0,37,15,10.480494736199852,True
370,0,10,0,2,0,1,1,3,0,2,20,28,-7.694905709674892,False
371,8,4,1,0,2,0,3,2,2,0,32,17,6.27598835193897,True
372,2,4,1,1,0,0,0,0,0,0,64,67,-0.746748490309848,False
373,4,8,0,1,1,1,0,5,2,0,23,44,-6.398008683413352,False
374,10,6,2,1,1,1,3,2,2,0,38,37,2.4855737743161868,True
375,2,10,0,3,0,3,0,4,0,2,20,28,-4.286355429380876,False
376,11,5,3,1,1,0,2,2,1,1,40,18,11.370676587139357,True
377,3,10,0,2,0,1,1,2,2,0,22,34,-5.871477702244832,False
378,9,4,2,1,1,0,2,1,1,1,34,26,3.5418702643331343,True
379,3,10,0,1,0,1,1,2,0,2,25,38,-7.48793918254453,False
380,5,2,0,0,1,0,0,3,1,1,32,25,5.9880055129413705,True
381,9,3,1,0,1,0,2,1,1,0,46,39,6.34864405116528,True
382,0,8,0,1,0,1,1,2,0,2,10,32,-12.16144043474506,False
383,10,0,2,0,1,0,3,0,2,0,47,21,12.222507305745772,True
384,4,8,0,2,0,1,1,1,1,1,18,21,-3.83550946490859,False
385,9,1,1,0,1,0,2,1,2,0,38,21,4.641091558865931,True
386,7,4,1,0,1,0,2,3,1,1,30,25,3.3415467199587283,True
387,3,7,0,1,0,0,0,4,0,1,16,24,-8.8676267509207,False
388,9,0,3,0,1,0,3,0,2,0,23,15,5.433976097420086,True
389,1,11,0,3,0,1,2,1,1,1,29,51,-6.704348284218035,False
