,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win
120,2,6,0,0,0,1,3,1,0,2,25,23,-0.6734231431672626,False
121,11,1,3,0,1,0,4,0,2,0,46,35,3.9321269740602673,True
122,9,7,1,1,1,0,3,1,1,1,46,17,10.301092152742513,True
123,2,9,0,2,1,0,2,2,1,0,29,39,-1.3231789591855332,False
124,4,10,0,2,1,0,2,3,2,0,53,49,0.5888805089056319,False
125,5,2,0,0,0,0,2,1,1,0,43,27,9.18634465388346,True
126,8,9,1,1,2,0,2,3,2,0,35,33,1.317494194078293,False
127,4,11,0,3,0,2,0,4,1,1,29,41,-8.185551168212363,False
128,2,4,1,2,0,0,0,0,0,0,76,76,-0.6183841786583173,False
129,10,7,2,1,1,0,2,2,1,1,46,29,8.705465475740809,True
130,2,8,0,1,0,1,0,4,1,1,23,38,-3.2200619353680295,False
131,10,3,1,0,1,0,4,0,1,1,62,37,5.53233352852839,True
132,4,9,0,3,0,1,0,4,0,2,24,47,-8.260429792776812,False
133,8,2,1,0,0,1,1,2,2,0,27,28,0.6839610123678455,True
134,10,4,3,0,1,2,4,3,0,2,48,56,-4.670650163258827,True
135,5,8,0,1,0,2,1,4,1,0,30,48,-6.598944130047045,False
136,7,1,1,0,1,0,4,0,2,0,39,22,10.301202143712437,True
137,9,2,3,0,1,0,2,1,1,1,42,25,9.952066749282963,True
138,11,4,3,0,1,0,2,2,2,0,59,39,6.496449248499005,True
139,1,4,0,2,0,0,0,0,0,0,80,79,-2.9475561078470776,False
140,2,4,1,2,0,0,0,0,0,0,68,62,-2.033639266554701,False
141,11,3,2,0,1,0,2,1,1,1,36,38,0.4746784001835991,True
142,0,11,0,3,0,1,1,2,0,2,17,35,-5.7749335291076775,False
143,4,11,0,3,1,1,3,1,1,1,39,43,-3.2547980293441583,False
144,7,3,1,0,2,0,4,0,1,1,43,13,14.593043450325073,True
145,9,11,1,5,1,1,4,1,0,2,47,40,3.536757684970887,True
146,9,7,2,0,2,0,3,1,1,0,42,37,3.3742368020875233,True
147,10,6,3,0,2,0,3,1,1,1,49,33,5.123888083834345,True
148,1,6,0,0,0,0,1,2,0,1,12,22,-4.308800606729598,False
