,Unnamed: 0,acesBefore15Minutes,assists,baronTakedowns,bountyGold,champExperience,championId,damagePerMinute,deaths,doubleAces,earlyLaningPhaseGoldExpAdvantage ,firstTowerKill,firstTurretKilled,gameLength,inhibitorKills,kda,killParticipation,kills,landSkillShotsEarlyGame ,lane,longestTimeSpentLiving,maxCsAdvantageOnLaneOpponent,maxKillDeficit,maxLevelLeadLaneOpponent,multikills,score,score_diff,soloKills,takedowns,teamBaronKills,turretKills,turretPlatesTaken,turretTakedowns,turretsLost,win
102,102,0,3,0,450,11354,84,785.1948217497464,4,0,,False,0,1404.3804111,0,2.0,0.5714285714285714,5,,TOP,693,26.0,0,1,0,9.406389564643838,-12.848788044401566,3,8,0,0,2,0,7,False
355,355,0,6,1,0,17069,121,505.69463561316513,1,0,,False,0,1851.0635168,0,11.0,0.44,5,,JUNGLE,1324,38.50000011920929,2,2,0,9.025996915018167,7.377529649489141,3,11,1,0,0,3,4,True
137,137,0,5,0,0,11756,234,567.6443754642435,7,0,,False,0,1720.3431712,0,1.4285714285714286,0.3333333333333333,5,,JUNGLE,977,4.5,0,1,0,6.45720069661195,1.1250270239936313,1,10,0,0,0,0,10,False
92,92,0,4,1,0,13580,145,891.4360507368555,1,0,,True,1,1616.2214718,0,11.0,0.55,7,,BOTTOM,1385,72.00000002980232,3,2,1,10.0,6.951183513998387,1,11,1,1,0,2,2,True
271,271,0,10,1,150,18580,200,770.313460900088,2,0,,False,0,1643.3363375,2,7.5,0.5357142857142857,5,,JUNGLE,860,166.40000012516975,3,5,0,9.547666341614017,5.818949003326047,0,15,1,7,0,8,3,True
147,147,0,14,0,0,9948,32,306.704808652918,6,0,,False,0,1898.2990321,0,2.6666666666666665,0.5161290322580645,2,,BOTTOM,805,12.0,2,1,0,7.092945501448002,1.2372417675367942,0,16,1,0,0,3,6,True
195,195,0,10,0,525,12529,234,633.6630810180183,5,0,,False,0,1681.108708,0,3.0,0.75,5,,JUNGLE,901,6.600000023841858,0,1,0,8.862989072433846,-3.5571328588632696,2,15,0,0,2,0,8,False
154,154,0,10,0,300,22286,2,836.0156912425117,6,0,,False,0,2356.6821794,0,3.0,0.4615384615384615,8,,TOP,707,11.0,0,1,1,9.96205342389471,0.9290552676624344,3,18,0,1,2,5,6,True
257,257,0,3,0,500,9030,147,406.8473772893554,3,0,,False,0,1408.4671645,0,1.3333333333333333,0.4,1,,BOTTOM,897,6.0,0,1,0,8.072304179817959,-12.16144043474506,0,4,0,0,0,0,8,False
18,18,0,8,1,0,14966,200,774.9969205738508,3,0,,False,1,1663.9764202,0,5.333333333333333,0.4705882352941176,8,,TOP,1131,142.60000038146973,0,4,1,9.354142850214233,11.80910397817103,1,16,1,2,3,4,2,True
