,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win
341,8,5,1,0,1,0,1,2,1,1,29,29,0.7404703510931938,True
342,7,2,1,0,0,0,2,1,1,1,31,18,6.420854751485393,True
343,1,10,0,2,0,1,0,4,1,1,22,49,-14.395224128146225,False
344,4,8,0,2,0,1,1,3,2,0,13,30,-10.201713088090735,False
345,3,11,0,2,0,1,2,1,0,2,25,31,-0.6724042126823448,False
346,6,10,1,2,0,2,1,4,0,1,38,46,-1.7597257853514705,False
347,1,10,0,2,0,1,1,2,0,2,17,22,-7.394491338557806,False
348,6,7,0,2,2,1,4,1,0,2,37,39,-0.910452442386628,False
349,1,9,0,2,0,1,0,4,1,1,9,30,-13.396783491815867,False
350,9,2,1,0,1,0,2,2,2,0,46,31,3.307913082673686,True
351,4,8,0,1,0,1,2,1,0,2,28,30,-4.282889445901972,False
352,11,1,4,0,1,0,3,1,2,0,38,23,6.26238818134577,True
353,1,11,0,2,0,1,1,3,1,1,12,35,-12.597056227366167,False
354,9,5,3,0,2,0,3,1,1,1,33,32,2.386280346010359,True
355,7,2,0,0,1,0,1,2,1,1,28,28,1.2060339182543558,True
356,9,3,1,0,1,0,1,3,2,0,43,35,-1.0965082172956713,True
357,10,3,2,0,1,0,3,1,1,1,41,18,10.585944758973895,True
358,5,10,0,2,0,1,1,2,2,0,32,38,-3.4734360878630213,False
359,9,1,1,0,1,0,3,0,2,0,26,19,8.388906665863466,True
360,5,9,0,2,0,1,2,3,2,0,29,44,-5.905820960781178,False
361,5,0,0,0,1,0,2,1,2,0,38,21,7.4973722369477045,True
362,0,7,0,1,0,1,1,2,0,2,26,29,-1.429399985965098,False
363,6,8,1,1,0,1,0,3,1,1,23,30,-5.026028742862067,False
364,8,4,1,0,1,0,2,2,0,2,27,22,4.025838523580617,True
365,9,1,2,0,0,2,5,0,2,0,29,14,4.820654021558802,True
366,7,0,1,0,1,0,2,1,1,1,36,20,8.161283348456841,True
367,9,3,2,0,1,0,3,1,1,1,39,39,2.329855919810001,True
368,10,1,2,0,1,0,3,1,1,1,27,20,6.445304111178018,True
369,7,4,1,0,1,0,1,3,0,2,46,30,6.341633977947673,True
370,7,8,1,1,0,2,2,3,0,2,25,36,-1.1424838387785243,False
371,9,4,1,0,1,1,3,2,1,1,34,27,2.3561978417795473,True
372,3,10,0,2,0,1,1,2,1,1,12,30,-13.784017447953417,False
373,6,2,1,0,1,0,2,2,2,0,30,17,6.457393583589777,True
374,11,4,4,0,1,1,5,0,2,0,45,28,5.716302468088905,True
375,9,3,2,0,0,1,1,2,2,0,48,24,6.989220685380168,True
376,4,8,0,1,1,1,1,2,1,1,37,43,-4.87387000612086,False
377,3,10,0,1,0,1,0,4,1,1,13,33,-10.998964949313056,False
378,1,11,0,3,0,1,0,3,1,1,13,26,-11.926354547614274,False
379,10,2,2,0,1,0,2,2,1,1,37,31,1.8189111858624045,True
380,10,2,2,0,1,1,3,1,2,0,43,24,8.827427035460438,True
381,6,11,0,6,1,2,1,3,1,1,25,31,-2.3929505347977127,False
382,8,4,1,0,1,1,0,4,1,1,31,31,1.6767934592809581,True
383,3,10,0,2,0,1,0,4,1,1,16,34,-7.830413196500878,False
384,7,6,1,0,1,0,2,0,0,2,32,29,3.499055062575927,True
385,3,11,0,2,0,1,1,3,1,1,24,32,-4.8939176430842295,False
386,7,0,2,0,1,0,3,0,1,1,39,17,11.93790798684985,True
387,7,2,1,0,1,0,3,1,1,1,36,24,8.172573513821177,True
388,10,2,2,0,2,0,2,2,0,2,49,23,7.449372011168322,True
389,11,3,1,0,1,1,4,1,2,0,48,31,7.5948309918977515,True
390,8,0,1,0,0,1,3,0,2,0,27,15,6.828775316254912,True
391,2,10,0,2,0,1,1,3,1,1,11,29,-12.094872949587504,False
392,11,1,4,0,1,0,4,0,2,0,23,14,5.436599979143303,True
393,2,11,0,3,0,1,0,3,1,1,33,47,-4.788048428694829,False
394,2,10,0,2,0,1,1,2,0,2,31,44,-5.795313427685393,False
395,10,3,1,0,1,0,2,1,1,1,31,20,5.544802330396031,True
396,11,0,3,0,1,0,3,1,2,0,34,19,7.209882432076462,True
397,9,3,1,0,1,0,3,1,1,1,43,28,9.304070099726232,True
398,1,10,0,2,0,2,0,4,1,1,19,32,-6.869652304985117,False
399,5,9,0,1,0,1,2,3,0,2,23,30,-2.0787836872102545,False
400,6,9,0,2,1,2,2,3,2,0,45,48,2.090032214580276,False
401,11,1,3,0,0,1,3,2,1,1,40,30,4.650353060418539,True
402,11,0,2,0,1,0,2,0,2,0,32,16,9.812624405019832,True
403,10,1,2,0,1,0,2,0,2,0,35,10,14.622128919109976,True
404,3,10,0,2,0,1,0,4,0,2,16,34,-13.197651815530975,False
405,2,8,0,2,0,1,1,2,0,2,15,30,-10.206189495825356,False
406,8,5,1,0,1,0,1,2,1,1,29,29,0.7404703510931938,True
407,7,2,1,0,0,0,2,1,1,1,31,18,6.420854751485393,True
408,1,10,0,2,0,1,0,4,1,1,22,49,-14.395224128146225,False
409,4,8,0,2,0,1,1,3,2,0,13,30,-10.201713088090735,False
410,3,11,0,2,0,1,2,1,0,2,25,31,-0.6724042126823448,False
411,6,10,1,2,0,2,1,4,0,1,38,46,-1.7597257853514705,False
412,1,10,0,2,0,1,1,2,0,2,17,22,-7.394491338557806,False
413,6,7,0,2,2,1,4,1,0,2,37,39,-0.910452442386628,False
414,1,9,0,2,0,1,0,4,1,1,9,30,-13.396783491815867,False
415,9,2,1,0,1,0,2,2,2,0,46,31,3.307913082673686,True
416,4,8,0,1,0,1,2,1,0,2,28,30,-4.282889445901972,False
417,11,1,4,0,1,0,3,1,2,0,38,23,6.26238818134577,True
418,1,11,0,2,0,1,1,3,1,1,12,35,-12.597056227366167,False
419,9,5,3,0,2,0,3,1,1,1,33,32,2.386280346010359,True
420,7,2,0,0,1,0,1,2,1,1,28,28,1.2060339182543558,True
421,9,3,1,0,1,0,1,3,2,0,43,35,-1.0965082172956713,True
422,10,3,2,0,1,0,3,1,1,1,41,18,10.585944758973895,True
423,5,10,0,2,0,1,1,2,2,0,32,38,-3.4734360878630213,False
424,9,1,1,0,1,0,3,0,2,0,26,19,8.388906665863466,True
425,5,9,0,2,0,1,2,3,2,0,29,44,-5.905820960781178,False
426,5,0,0,0,1,0,2,1,2,0,38,21,7.4973722369477045,True
427,0,7,0,1,0,1,1,2,0,2,26,29,-1.429399985965098,False
428,6,8,1,1,0,1,0,3,1,1,23,30,-5.026028742862067,False
429,8,4,1,0,1,0,2,2,0,2,27,22,4.025838523580617,True
430,9,1,2,0,0,2,5,0,2,0,29,14,4.820654021558802,True
431,7,0,1,0,1,0,2,1,1,1,36,20,8.161283348456841,True
432,9,3,2,0,1,0,3,1,1,1,39,39,2.329855919810001,True
433,10,1,2,0,1,0,3,1,1,1,27,20,6.445304111178018,True
434,7,4,1,0,1,0,1,3,0,2,46,30,6.341633977947673,True
435,7,8,1,1,0,2,2,3,0,2,25,36,-1.1424838387785243,False
436,9,4,1,0,1,1,3,2,1,1,34,27,2.3561978417795473,True
437,3,10,0,2,0,1,1,2,1,1,12,30,-13.784017447953417,False
438,6,2,1,0,1,0,2,2,2,0,30,17,6.457393583589777,True
439,11,4,4,0,1,1,5,0,2,0,45,28,5.716302468088905,True
440,9,3,2,0,0,1,1,2,2,0,48,24,6.989220685380168,True
