,Unnamed: 0,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
120,120,3,10,0,1,0,1,1,3,2,0,26,37,-4.043697003410237,False,grandmaster
121,121,3,7,0,1,0,2,3,2,1,1,38,48,-2.092559298731615,False,grandmaster
122,122,8,1,1,0,1,0,2,2,1,1,37,24,8.250091885694296,True,grandmaster
123,123,2,9,0,1,0,1,1,2,1,1,18,31,-6.815550158215928,False,grandmaster
124,124,10,3,3,0,2,0,3,2,1,1,39,37,3.210791347127845,True,grandmaster
125,125,9,2,1,0,1,0,2,2,2,0,27,18,6.564153447142999,True,grandmaster
126,126,9,2,1,0,1,0,3,1,2,0,30,21,8.025187846487285,True,grandmaster
127,127,8,11,0,2,2,1,0,5,2,0,45,54,-6.019747104396302,False,grandmaster
128,128,9,5,2,0,2,0,4,1,1,1,33,14,10.801234563821453,True,grandmaster
129,129,9,0,2,0,1,0,3,0,2,0,29,15,11.12119322821694,True,grandmaster
130,130,2,11,0,3,0,1,1,3,1,1,28,45,-5.537536523667846,False,grandmaster
131,131,3,7,0,2,0,1,1,2,0,2,27,54,-10.43726860627391,False,grandmaster
132,132,8,7,1,1,1,2,0,5,2,0,48,36,1.956000836692816,True,grandmaster
133,133,2,8,0,1,0,1,0,4,2,0,19,37,-6.629521960274182,False,grandmaster
134,134,6,10,1,3,1,1,2,4,1,1,56,55,-0.6229809517844416,True,grandmaster
135,135,8,2,1,0,1,0,2,2,2,0,33,29,0.7690142740128891,True,grandmaster
136,136,7,1,1,0,1,0,2,1,1,1,22,16,9.752605864695788,True,grandmaster
137,137,4,5,0,0,1,0,2,1,2,0,22,16,2.9833480565435906,True,grandmaster
138,138,3,8,0,1,0,0,1,2,0,2,39,41,-2.476495221237805,False,grandmaster
139,139,10,10,2,2,1,1,0,4,0,2,22,36,-7.114394012082215,False,grandmaster
140,140,11,2,2,0,1,0,2,1,1,1,23,15,4.927925302481143,True,grandmaster
141,141,4,11,0,3,0,2,1,2,2,0,22,32,-7.647417027117108,False,grandmaster
142,142,9,3,2,0,1,0,2,2,1,1,33,35,0.5852198472022181,True,grandmaster
143,143,3,8,0,1,0,2,0,4,1,1,20,39,-12.139170881288692,False,grandmaster
144,144,3,10,0,2,1,1,1,4,0,2,36,48,-3.96749919250599,False,grandmaster
145,145,3,9,0,1,0,1,2,2,2,0,13,31,-8.075984977718143,False,grandmaster
146,146,2,11,0,4,0,2,2,3,0,2,17,35,-7.127161141037064,False,grandmaster
147,147,8,2,1,0,2,0,4,1,0,2,41,33,3.78539342629918,True,grandmaster
148,148,3,11,0,2,0,2,3,2,0,2,43,42,5.2972743344348885,False,grandmaster
149,149,5,5,1,0,0,1,2,1,1,1,32,28,3.794162549613489,True,grandmaster
150,150,10,2,2,0,1,0,3,1,2,0,38,19,11.972084580184326,True,grandmaster
151,151,7,7,1,0,2,1,3,3,1,1,22,35,-3.2811355684864267,True,grandmaster
152,152,9,2,1,0,1,0,4,0,2,0,30,13,9.1052923169919,True,grandmaster
153,153,5,8,0,1,1,2,4,1,0,2,39,31,2.806458759709514,False,grandmaster
154,154,11,1,3,0,1,0,2,2,0,2,26,15,9.847667930429663,True,grandmaster
155,155,9,1,2,0,1,0,3,1,2,0,26,21,0.7921588230770453,True,grandmaster
156,156,10,1,2,0,1,0,2,1,1,1,38,17,8.288733428661622,True,grandmaster
157,157,1,10,0,1,0,1,2,1,0,2,22,29,-3.098174727953364,False,grandmaster
158,158,8,0,1,0,1,0,4,0,2,0,25,14,9.778552983198956,True,grandmaster
159,159,4,8,0,0,1,1,1,2,1,1,29,48,-7.054919516610987,False,grandmaster
160,160,10,4,3,0,1,0,3,1,1,0,40,25,5.283496497804109,True,grandmaster
161,161,11,0,3,0,1,0,2,0,2,0,24,10,8.368057486813747,True,grandmaster
162,162,11,5,3,0,1,0,1,2,1,1,32,34,2.6779109652784783,True,grandmaster
163,163,2,9,0,2,0,1,2,2,0,2,17,35,-10.306936137316931,False,grandmaster
